"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","EBS Optimized surcharge"
"M1 General Purpose Small","m1.small","1.7 GB","1 units","1 vCPUs","0","0","1 units","160 GB               HDD               + 900MB swap","No","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","8","No","No","No","No","PV","$0.047 hourly","$0.034 hourly","$0.075 hourly","$0.066 hourly","$0.139 hourly","$0.094 hourly","$0.629 hourly","$0.473 hourly","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GB","2 units","1 vCPUs","0","0","2 units","410 GB               HDD","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","PV","$0.095 hourly","$0.068 hourly","$0.149 hourly","$0.131 hourly","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable"
"C1 High-CPU Medium","c1.medium","1.7 GB","5 units","2 vCPUs","0","0","2.5 units","350 GB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","PV","$0.148 hourly","$0.111 hourly","$0.210 hourly","$0.203 hourly","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GB","88 units","32 vCPUs","0","0","2.75 units","3360 GB               (4 * 840 GB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM","$2.250 hourly","$1.381 hourly","$2.570 hourly","$1.668 hourly","$2.775 hourly","$1.437 hourly","$4.41 hourly","$2.956 hourly","unavailable"
"Cluster GPU Quadruple Extra Large","cg1.4xlarge","22.5 GB","33.5 units","16 vCPUs","0","0","2.094 units","1680 GB               (2 * 840 GB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM","$2.360 hourly","unavailable","$2.600 hourly","unavailable","$2.703 hourly","unavailable","$3.85 hourly","unavailable","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GB","6.5 units","2 vCPUs","0","0","3.25 units","420 GB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","No","No","No","No","PV","$0.275 hourly","$0.134 hourly","$0.345 hourly","$0.313 hourly","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GB","88 units","32 vCPUs","0","0","2.75 units","240 GB               (2 * 120 GB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","Unknown","$3.750 hourly","$1.832 hourly","$3.831 hourly","$2.596 hourly","$4.044 hourly","$2.327 hourly","$7.25 hourly","$6.077 hourly","unavailable"
"I2 Eight Extra Large","i2.8xlarge","244.0 GB","104 units","32 vCPUs","0","0","3.25 units","6400 GB               (8 * 800 GB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","Yes","Yes","HVM","$7.502 hourly","$4.120 hourly","$7.782 hourly","$5.654 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","unavailable"
"HI1. High I/O Quadruple Extra Large","hi1.4xlarge","60.5 GB","35 units","16 vCPUs","0","0","2.188 units","2048 GB               (2 * 1024 GB SSD)","Yes","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM, PV","$3.100 hourly","$1.698 hourly","$3.580 hourly","$2.260 hourly","$3.66 hourly","$2.312 hourly","$4.607 hourly","$3.071 hourly","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GB","35 units","16 vCPUs","0","0","2.188 units","48000 GB               (24 * 2000 GB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM, PV","$4.900 hourly","$2.858 hourly","$4.931 hourly","$3.701 hourly","$5.144 hourly","$3.211 hourly","$8.35 hourly","$6.961 hourly","unavailable"
"T1 Micro","t1.micro","0.613 GB","Burstable","1 vCPUs","0","0","Burstable","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","4","No","No","No","No","PV","$0.020 hourly","$0.016 hourly","$0.020 hourly","$0.019 hourly","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","4","No","Yes","Yes","No","HVM","$0.006 hourly","$0.005 hourly","$0.009 hourly","$0.007 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Micro","t2.micro","1.0 GB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","4","No","Yes","Yes","No","HVM","$0.013 hourly","$0.009 hourly","$0.018 hourly","$0.014 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable"
"T2 Small","t2.small","2.0 GB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","8","No","Yes","Yes","No","HVM","$0.025 hourly","$0.018 hourly","$0.034 hourly","$0.027 hourly","$0.106 hourly","$0.093 hourly","unavailable","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","18","No","Yes","Yes","No","HVM","$0.050 hourly","$0.036 hourly","$0.068 hourly","$0.054 hourly","$0.212 hourly","$0.123 hourly","unavailable","unavailable","unavailable"
"T2 Large","t2.large","8.0 GB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","0","Burstable","EBS only","N/A","N/A","64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","36","No","Yes","Yes","No","HVM","$0.101 hourly","$0.072 hourly","$0.129 hourly","$0.100 hourly","$0.342 hourly","$0.166 hourly","unavailable","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GB","Base performance:                 90%","4 vCPUs                                                   for a                 5h 24m                 burst","0","0","Burstable","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","45","No","Yes","Yes","No","HVM","$0.202 hourly","$0.145 hourly","$0.243 hourly","$0.186 hourly","$0.3 hourly","$0.247 hourly","unavailable","unavailable","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GB","Base performance:                 135%","8 vCPUs                                                   for a                 4h 3m                 burst","0","0","Burstable","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","45","No","Yes","Yes","No","HVM","$0.404 hourly","$0.289 hourly","$0.466 hourly","$0.351 hourly","$0.579 hourly","$0.472 hourly","unavailable","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GB","3 units","1 vCPUs","0","0","3 units","4 GB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","HVM, PV","$0.073 hourly","$0.055 hourly","$0.129 hourly","$0.114 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable"
"M3 General Purpose Large","m3.large","7.5 GB","6.5 units","2 vCPUs","0","0","3.25 units","32 GB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","No","No","No","No","HVM, PV","$0.146 hourly","$0.110 hourly","$0.258 hourly","$0.229 hourly","$0.367 hourly","$0.239 hourly","$0.704 hourly","$0.442 hourly","unavailable"
