"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.019 hourly","unavailable","$0.019 hourly","unavailable","$0.019 hourly","unavailable","$0.020 hourly","unavailable","$0.024 hourly","unavailable"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.045 hourly","unavailable","$0.037 hourly","unavailable","$0.037 hourly","unavailable","$0.037 hourly","unavailable","$0.040 hourly","unavailable","$0.158 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.150 hourly","unavailable","$0.150 hourly","unavailable","$0.150 hourly","unavailable","$0.160 hourly","unavailable","$0.194 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.090 hourly","unavailable","$0.075 hourly","unavailable","$0.075 hourly","unavailable","$0.154 hourly","unavailable","$0.080 hourly","unavailable","$0.317 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.193 hourly","unavailable","$0.193 hourly","unavailable","$0.193 hourly","unavailable","$0.200 hourly","unavailable","$0.332 hourly","unavailable"
"DB M4","db.m4.xlarge","16 GB","0 GB (EBS only)","750 Mbps","Intel Xeon E5-2676 v3 (Haswell)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.385 hourly","unavailable","$0.385 hourly","unavailable","$0.905 hourly","unavailable","$0.402 hourly","unavailable","$0.594 hourly","unavailable"
"DB M4","db.m4.4xlarge","64 GB","0 GB (EBS only)","2000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","16 vCPUs","High","64-bit","unavailable","unavailable","$1.541 hourly","unavailable","$1.541 hourly","unavailable","$1.541 hourly","unavailable","$1.607 hourly","unavailable","$5.552 hourly","unavailable"
"DB M4","db.m4.2xlarge","32 GB","0 GB (EBS only)","1000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","8 vCPUs","High","64-bit","unavailable","unavailable","$0.770 hourly","unavailable","$0.770 hourly","unavailable","$1.945 hourly","unavailable","$0.803 hourly","unavailable","$1.212 hourly","unavailable"
"DB M4","db.m4.10xlarge","160 GB","0 GB (EBS only)","4000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","40 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","$3.852 hourly","unavailable","$3.852 hourly","unavailable","$3.852 hourly","unavailable","$4.019 hourly","unavailable","$6.653 hourly","unavailable"
"DB T1","db.t1.micro","0.613 GB","0 GB (EBS only)","N/A","Variable","1 vCPUs","Very Low","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
