"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.018 hourly","unavailable","$0.018 hourly","unavailable","$0.036 hourly","unavailable","$0.020 hourly","unavailable","$0.023 hourly","unavailable"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.044 hourly","unavailable","$0.036 hourly","unavailable","$0.036 hourly","unavailable","$0.036 hourly","unavailable","$0.039 hourly","unavailable","$0.046 hourly","unavailable"
"DB T1","db.t1.micro","0.613 GB","0 GB (EBS only)","N/A","Variable","1 vCPUs","Very Low","64-bit","unavailable","unavailable","unavailable","unavailable","$0.035 hourly","unavailable","$0.054 hourly","unavailable","$0.038 hourly","unavailable","$0.035 hourly","unavailable"
"DB M1","db.m1.small","1.7 GB","1 x 160","N/A","Intel Xeon Family","1 vCPUs","Low","64-bit","unavailable","unavailable","unavailable","unavailable","$0.060 hourly","unavailable","$0.060 hourly","unavailable","$0.064 hourly","unavailable","$0.090 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.088 hourly","unavailable","$0.073 hourly","unavailable","$0.073 hourly","unavailable","$0.073 hourly","unavailable","$0.078 hourly","unavailable","$0.093 hourly","unavailable"
"DB M3","db.m3.medium","3.75 GB","1 x 4 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","1 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.095 hourly","unavailable","$0.095 hourly","unavailable","$0.095 hourly","unavailable","$0.104 hourly","unavailable","$0.650 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.193 hourly","unavailable","$0.193 hourly","unavailable","$0.193 hourly","unavailable","$0.201 hourly","unavailable","$0.308 hourly","unavailable"
"DB M3","db.m3.large","7.5 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.200 hourly","unavailable","$0.200 hourly","unavailable","$0.200 hourly","unavailable","$0.209 hourly","unavailable","$0.305 hourly","unavailable"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.320 hourly","unavailable","$0.265 hourly","unavailable","$0.265 hourly","unavailable","$0.265 hourly","unavailable","$0.280 hourly","unavailable","$0.465 hourly","unavailable"
"DB M1","db.m1.medium","3.75 GB","1 x 410","N/A","Intel Xeon Family","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.120 hourly","unavailable","$0.280 hourly","unavailable","$0.130 hourly","unavailable","$0.175 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.146 hourly","unavailable","$0.146 hourly","unavailable","$0.318 hourly","unavailable","$0.156 hourly","unavailable","$0.187 hourly","unavailable"
"DB M4","db.m4.xlarge","16 GB","0 GB (EBS only)","750 Mbps","Intel Xeon E5-2676 v3 (Haswell)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.386 hourly","unavailable","$0.386 hourly","unavailable","$0.386 hourly","unavailable","$0.403 hourly","unavailable","$0.615 hourly","unavailable"
