"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T1","db.t1.micro","0.613 GB","0 GB (EBS only)","N/A","Variable","1 vCPUs","Very Low","64-bit","unavailable","unavailable","unavailable","unavailable","$0.025 hourly","unavailable","$0.025 hourly","unavailable","$0.026 hourly","unavailable","$0.024 hourly","unavailable"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.041 hourly","unavailable","$0.034 hourly","unavailable","$0.034 hourly","unavailable","$0.034 hourly","unavailable","$0.036 hourly","unavailable","$0.044 hourly","unavailable"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.017 hourly","unavailable","$0.017 hourly","unavailable","$0.038 hourly","unavailable","$0.018 hourly","unavailable","$0.022 hourly","unavailable"
"DB M1","db.m1.small","1.7 GB","1 x 160","N/A","Intel Xeon Family","1 vCPUs","Low","64-bit","unavailable","unavailable","unavailable","unavailable","$0.055 hourly","unavailable","$0.055 hourly","unavailable","$0.060 hourly","unavailable","$0.150 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.082 hourly","unavailable","$0.068 hourly","unavailable","$0.068 hourly","unavailable","$0.068 hourly","unavailable","$0.073 hourly","unavailable","$0.288 hourly","unavailable"
"DB M1","db.m1.medium","3.75 GB","1 x 410","N/A","Intel Xeon Family","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.115 hourly","unavailable","$0.115 hourly","unavailable","$0.120 hourly","unavailable","$0.775 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.136 hourly","unavailable","$0.136 hourly","unavailable","$0.136 hourly","unavailable","$0.145 hourly","unavailable","$0.176 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.175 hourly","unavailable","$0.175 hourly","unavailable","$0.175 hourly","unavailable","$0.182 hourly","unavailable","$0.302 hourly","unavailable"
"DB M3","db.m3.large","7.5 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.185 hourly","unavailable","$0.185 hourly","unavailable","$0.185 hourly","unavailable","$0.195 hourly","unavailable","$0.815 hourly","unavailable"
"DB M3","db.m3.medium","3.75 GB","1 x 4 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","1 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.090 hourly","unavailable","$0.090 hourly","unavailable","$0.226 hourly","unavailable","$0.095 hourly","unavailable","$0.655 hourly","unavailable"
"DB M1","db.m1.large","7.5 GB","2 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.230 hourly","unavailable","$0.230 hourly","unavailable","$0.245 hourly","unavailable","$0.355 hourly","unavailable"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.290 hourly","unavailable","$0.240 hourly","unavailable","$0.240 hourly","unavailable","$0.240 hourly","unavailable","$0.250 hourly","unavailable","$1.020 hourly","unavailable"
"DB M2","db.m2.xlarge","17.1 GB","1 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.330 hourly","unavailable","$0.330 hourly","unavailable","$0.345 hourly","unavailable","$0.430 hourly","unavailable"
"DB R3","db.r3.xlarge","30.5 GB","1 x 80 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","4 vCPUs","Moderate","64-bit","$0.580 hourly","unavailable","$0.475 hourly","unavailable","$0.475 hourly","unavailable","$0.475 hourly","unavailable","$0.500 hourly","unavailable","$0.725 hourly","unavailable"
